알려진 이슈 DB,,,,,,,,,,,
장애ID,장애유형,장비/시스템,OS/버전,장애증상,에러 로그 키워드,장애원인,권장조치,조치 우선순위,해결 난이도,예상 조치 시간,참고문서
ST001,스토리지/RAID,HPE DL380 Gen9,모든 OS,파일시스템 오류 발생,ext_ext_check_block: bad header,RAID 컨트롤러 펌웨어 버전 불일치,RAID 컨트롤러 펌웨어 업데이트,High,Easy,1시간,https://access.redhat.com/solutions/5529861
ST002,스토리지/RAID,Dell R740,모든 OS,디스크 I/O 성능 저하,Controller encountered correctable error,캐시 배터리 부족으로 인한 Write-Back 비활성화,캐시 배터리 교체,Medium,Medium,2시간,https://www.dell.com/support/kbdoc/ko-kr/000124349
ST003,스토리지/RAID,모든 서버,모든 OS,RAID 볼륨 디그레이드,Degraded array detected,디스크 물리적 오류 또는 연결 문제,해당 디스크 교체 또는 재장착,High,Medium,2시간,제조사 서버 관리 가이드
ST004,스토리지/RAID,HPE 모든 모델,모든 OS,디스크 오류 발생 빈도 증가,predictive failure count,디스크 수명 임계치 도달,해당 디스크 교체,Medium,Easy,1시간,HPE SSA 가이드
ST005,스토리지/RAID,Dell 모든 모델,모든 OS,갑작스런 RAID 컨트롤러 재시작,Controller reset detected,RAID 컨트롤러 과열 또는 펌웨어 버그,서버 내부 청소 및 펌웨어 업데이트,High,Medium,3시간,Dell OpenManage 가이드
ST006,스토리지/RAID,모든 서버,모든 OS,핫스왑 기능 작동 안함,Failed to detect new drive,드라이브 베이 또는 백플레인 연결 불량,백플레인 재장착 또는 교체,Medium,Hard,4시간,제조사 서버 교체 가이드
ST007,스토리지/RAID,모든 서버,모든 OS,RAID 배터리 학습 사이클,BBU learning cycle,RAID 배터리 정기 재충전 사이클,24시간 이내 자동 완료 대기,Low,Easy,24시간,제조사 RAID 컨트롤러 매뉴얼
ST008,스토리지/RAID,모든 서버,모든 OS,가상 디스크 초기화 느림,Slow initialization progress,대용량 디스크의 정상적 초기화 과정,"초기화 완료까지 대기, 취소 금지",Low,Easy,수 시간-수 일,제조사 RAID 구성 가이드
ST009,스토리지/RAID,모든 서버,모든 OS,RAID 설정 후 부팅 불가,No boot device found,RAID 생성 후 부트 파티션 설정 누락,BIOS에서 부트 순서 재설정,High,Medium,1시간,제조사 RAID 설정 가이드
ST010,스토리지/RAID,HPE DL380 Gen10,모든 OS,스토리지 컨트롤러 미인식,Smart Array Controller not detected,컨트롤러 장착 불량 또는 하드웨어 고장,컨트롤러 재장착 또는 교체,Critical,Medium,2시간,HPE Smart Array 가이드
ST011,스토리지/RAID,Dell R640,모든 OS,RAID 구성 정보 손실,Foreign configuration detected,배터리 방전 또는 컨트롤러 재설정,외부 구성 가져오기 실행,High,Medium,1시간,Dell PERC 가이드
ST012,스토리지/RAID,Lenovo SR650,모든 OS,SSD 읽기 오류 빈도 증가,Media read errors detected,SSD 수명 종료 임박,SSD 교체 및 데이터 마이그레이션,Medium,Medium,3시간,Lenovo SSD 관리 가이드
NW001,네트워크,Dell R740,모든 OS,간헐적 Ping Loss,Network ping fail,OS 또는 네트워크 인프라 이슈,"스위치와 케이블 점검, OS 네트워크 스택 확인",High,Medium,2시간,Dell 네트워크 이슈 가이드
NW002,네트워크,HPE DL380,모든 OS,NIC 링크 다운,Link down detected on NIC port,케이블 불량 또는 스위치 포트 이슈,케이블 교체 및 스위치 포트 점검,High,Easy,1시간,HPE 네트워크 가이드
NW003,네트워크,모든 서버,모든 OS,네트워크 패킷 드롭 증가,Packet drops exceed threshold,NIC 버퍼 오버플로우 또는 드라이버 문제,NIC 드라이버 업데이트 및 MTU 설정 확인,Medium,Medium,2시간,NIC 벤더 기술 문서
NW004,네트워크,모든 서버,모든 OS,NIC 팀/본딩 페일오버 장애,Failover failed on bond interface,NIC 구성 오류 또는 케이블 불량,본딩 구성 재설정 및 물리적 연결 확인,High,Medium,2시간,OS 네트워크 본딩 가이드
NW005,네트워크,모든 서버,Windows,DHCP 주소 획득 실패,DHCP client failed to obtain lease,DHCP 서버 연결 문제 또는 클라이언트 설정 오류,DHCP 서비스 및 클라이언트 설정 확인,Medium,Medium,2시간,Windows 네트워크 트러블슈팅 가이드
